date,mollie,molly,jessica,ashley
19840101,292,2178,45851,38759
19850101,387,2431,48343,47007
19860101,370,2550,52667,49647
19870101,397,2889,55990,54845
19880101,419,3460,51532,49963
19890101,442,3457,47885,47585
19900101,527,3964,46470,45553
19910101,535,4651,43394,43482
19920101,486,4136,38352,38452
19930101,495,3707,34987,34847
